,country,official name,2020/4/16 CFR,2020/6/16 CFR,2020/8/16 CFR,2020/10/16 CFR,2020/12/16 CFR,2021/2/16 CFR,2021/4/16 CFR,2021/6/16 CFR,continent,population,population density,median age,aged 65 older,aged 70 older,life expectancy,HAQ,DALYs rate from COPD,DALYs rate from CVD,DALYs rate from DM,DALYs rate from PNEU,DALYs rate from air pollution,DALYs rate from tobacco use,DALYs rate from low physical activity,2018 GDP
51,El Salvador,El Salvador,0.0366,0.0194,0.0267,0.0292,0.0288,0.0302,0.0308,0.0302,North America,6486201.0,307.811,27.6,8.273,5.417,73.32,64.4,333.771886648587,2875.8275897659,1461.8168800974,456.08586660929,1049.50364929305,906.319332416908,78.7442822104072,54756344105.0
52,Equatorial Guinea,Equatorial Guinea,,0.0192,0.0172,0.0164,0.0164,0.0153,0.0146,0.0139,Africa,1402985.0,45.194,22.4,2.846,1.752,58.74,48.4,243.488003085625,1744.62465567683,619.523283106563,679.438528369017,1474.09370758576,551.110577763033,88.6434938464598,22750613273.0
53,Eritrea,Eritrea,,,,,,0.0027,0.0029,0.0033,Africa,3546427.0,44.304,19.3,3.607,2.171,66.32,38.1,361.311929213639,2983.57302668444,633.57555196915,2162.16504466606,3750.54889717968,1078.56988903628,24.4220048061857,
54,Estonia,Estonia,0.0251,0.0349,0.0288,0.0169,0.0083,0.0095,0.0092,0.0097,Europe,1326539.0,31.033,42.7,19.452,13.491,78.74,81.4,425.132375907909,9473.13424058626,823.262661361473,252.574742029458,324.07575473839,4464.90698539107,317.542018746058,35409424255.0
55,Eswatini,Eswatini,0.0625,0.0071,0.0182,0.02,0.0192,0.0382,0.0364,0.036,Africa,1160164.0,79.492,21.5,3.163,1.845,60.19,41.9,561.288263356605,3515.68106173477,1790.21293576136,2138.99614959443,2870.4371988666,1201.03715223591,203.796038361355,8771759869.0
56,Ethiopia,Ethiopia,0.0326,0.0168,0.0177,0.0152,0.0154,0.015,0.0138,0.0155,Africa,114963583.0,104.957,19.8,3.526,2.063,66.6,44.2,256.573662873022,1870.72215833101,416.887057002856,1454.10481300424,3706.77898022608,291.767486395237,16.8231956241056,195740327716.0
57,Fiji,Fiji,,,0.0357,0.0625,0.0435,0.0357,0.0294,0.0035,Oceania,896444.0,49.562,28.6,6.224,3.284,67.44,46.6,420.350652017564,8157.59289673438,6072.60484715361,594.303293342934,2262.65286381357,4307.57541780811,776.827870235753,
58,Finland,Finland,0.0223,0.0458,0.0431,0.0267,0.0148,0.0141,0.0106,0.0103,Europe,5540718.0,18.136,42.8,21.228,13.264,81.91,89.6,680.474694255519,6446.08402622029,1016.58905981182,86.9819828627596,153.451842896287,3118.0100985637,414.657319428026,214535726087.0
59,France,France,0.1233,0.1493,0.1179,0.0379,0.0241,0.0234,0.019,0.0191,Europe,67564251.0,122.578,42.0,19.718,13.079,82.66,87.9,489.007693928819,3487.8839941435,596.129150541921,170.553068564806,408.80006417556,3079.38192031491,309.709506303883,2581673898819.0
60,Gabon,Gabon,0.0125,0.0071,0.0062,0.0061,0.0067,0.0058,0.0061,0.0063,Africa,2225728.0,7.859,23.1,4.45,2.976,66.47,51.4,367.14735200995,3514.87673161003,1264.79021438864,889.595342431764,1756.0041613992,1170.17141898454,147.633414200672,36693263561.0
61,Gambia,Gambia,0.1111,0.0294,0.0337,0.0323,0.0325,0.0309,0.0297,0.03,Africa,2416664.0,207.566,17.5,2.339,1.417,62.05,49.7,357.94450425087,2901.21946754435,517.289336255763,1343.31691042596,3641.98067226078,1165.42213837402,68.7120211281944,3939021788.0
62,Georgia,Georgia,0.0086,0.0158,0.0127,0.0081,0.0097,0.0127,0.0133,0.0143,Asia,3989175.0,65.032,38.7,14.864,10.244,73.77,62.1,673.674949989426,13891.7729030851,1699.75279233871,301.580697900534,2959.36730784022,6088.57803006211,373.347281773526,58984799876.0
63,Germany,Germany,0.0294,0.0469,0.041,0.0272,0.0171,0.028,0.0255,0.0242,Europe,83783945.0,237.016,46.6,21.453,15.957,81.33,86.4,1146.35354823365,6041.25105961979,1281.44972805004,184.443970881168,708.043008482409,4342.26658707204,356.432781169987,3885961291103.0
64,Ghana,Ghana,0.0125,0.0052,0.0054,0.0066,0.0061,0.0072,0.0084,0.0083,Africa,31072945.0,126.719,21.1,3.385,1.948,64.07,49.7,366.214964242929,3287.47971006388,742.850510570233,1359.17848731846,2987.2908735746,664.19715572157,92.7081271700015,118873890039.0
65,Greece,Greece,0.0476,0.0584,0.0322,0.02,0.0303,0.0355,0.03,0.0299,Europe,10423056.0,83.479,45.3,20.396,14.524,82.24,87.0,1155.87329334773,7494.86001585107,964.87156264924,315.32486701367,1109.03763569398,6053.7963223854,336.173983672225,250035842878.0
66,Grenada,Grenada,,,,,,0.0068,0.0065,0.0062,North America,112519.0,317.132,29.4,7.304,5.021,72.4,58.3,344.009314460533,5580.62493292355,2640.05771439443,620.061920612019,1450.48096803602,1817.38185485474,489.037448746073,
67,Guatemala,Guatemala,0.0255,0.0384,0.038,0.0346,0.0345,0.0366,0.034,0.031,North America,17915567.0,157.834,22.9,4.694,3.016,74.3,55.7,214.906242279749,2026.16705201824,1515.08489132232,1316.26996349231,1750.86358224543,775.614889221233,20.9106886172855,127549979636.0
68,Guinea,Guinea,0.0023,0.0056,0.006,0.0062,0.0059,0.0057,0.0065,0.0071,Africa,13132792.0,51.755,19.0,3.135,1.733,61.6,38.6,383.020390616147,3041.05293236339,563.814521166981,4517.46032329279,6750.62595939378,1455.16461270179,53.729739055074,19045321801.0
69,Guinea-Bissau,Guinea-Bissau,,0.01,0.0156,0.0172,0.018,0.0156,0.0178,0.0181,Africa,1967998.0,66.191,19.4,3.002,1.565,58.32,36.3,387.608195632522,3460.53470009493,650.528451886556,1731.43570908003,5032.84536651772,823.459211693184,71.5590183861154,2752461978.0
70,Guyana,Guyana,0.1091,0.0702,0.0324,0.0291,0.0263,0.0227,0.0229,0.0235,South America,786559.0,3.952,26.3,5.305,2.837,69.91,49.8,270.548124821459,7792.10596178876,2836.82892492244,559.507712864203,1891.50007274578,2180.90975760538,565.340269824696,
71,Haiti,Haiti,0.0732,0.0171,0.025,0.0259,0.0244,0.0203,0.0196,0.0215,North America,11402533.0,398.448,24.3,4.8,2.954,64.0,38.5,420.121459563099,5789.73076727689,1487.80622322366,1878.15344839935,4574.27052174595,1036.34151083841,271.53476102054,18653678821.0
72,Honduras,Honduras,0.0822,0.0326,0.0312,0.0295,0.0261,0.0242,0.0247,0.0268,North America,9904608.0,82.805,24.9,4.652,2.883,75.27,53.9,620.170224575974,3333.30705100675,813.594618586726,223.005430331063,1680.09401033626,1312.69495797523,45.0870188010856,45382744884.0
73,Hong Kong,Hong Kong,0.0039,0.0036,0.0154,0.0201,0.0158,0.0181,0.018,0.0177,Asia,7496988.0,7039.714,44.8,16.303,10.158,84.86,,,,,,,,,373682640986.0
74,Hungary,Hungary,0.086,0.139,0.1237,0.0252,0.0256,0.0355,0.0334,0.0371,Europe,9660350.0,108.043,43.4,18.577,11.976,76.88,79.6,1409.03445370515,10621.1333651506,1452.01947631656,114.105059476168,1979.39781502981,7453.95803024103,331.732925746717,250426483260.0
75,Iceland,Iceland,0.0046,0.0055,0.005,0.0028,0.005,0.0048,0.0046,0.0044,Europe,341250.0,3.404,37.3,14.431,9.207,82.99,93.6,696.319837023921,3068.81517133544,613.185197633396,169.560700830713,114.647343510969,2612.81264728442,253.994363217431,15315260540.0
76,India,India,0.0334,0.0333,0.0192,0.0152,0.0145,0.0143,0.0121,0.0129,Asia,1380004385.0,450.419,28.2,5.989,3.414,69.66,44.8,1526.6015170818,4670.03272095638,919.020558309223,707.974320270556,3847.07261080223,2435.26646934438,135.341316028051,8835757694781.0
77,Indonesia,Indonesia,0.0899,0.0549,0.0441,0.0349,0.0303,0.0272,0.0271,0.0276,Asia,273523621.0,145.725,29.3,5.319,3.053,71.72,49.2,766.156775799324,6363.52919973868,1486.94350599669,391.743636143272,2264.29967761089,3411.27787903943,219.137824379187,3075456084371.0
78,Iran,Iran,0.0624,0.0471,0.0572,0.0572,0.0467,0.0385,0.0301,0.0269,Asia,83992953.0,49.831,32.4,5.44,3.182,76.68,71.1,441.966889235043,4275.21015944437,902.208450442518,205.313691423104,1412.05238052294,1757.06807205046,353.900788712832,1398996002264.0
79,Iraq,Iraq,0.0558,0.0319,0.0331,0.0241,0.0218,0.0203,0.0155,0.0132,Asia,40222503.0,88.125,20.0,3.186,1.957,70.6,60.1,155.033328934742,4657.6804730687,995.78574513026,231.04913290558,1928.86149113374,2174.08488332114,463.049232931787,513592674532.0
80,Ireland,Ireland,0.0366,0.0675,0.0651,0.0388,0.0277,0.0189,0.0199,0.0185,Europe,4937796.0,69.874,38.7,13.928,8.678,82.3,88.4,912.079535663127,3326.31736355726,637.516436371924,188.000027054747,237.537142824051,3092.27401462192,341.340734516438,314321653959.0
81,Israel,Israel,0.0113,0.0154,0.0082,0.0072,0.0083,0.0074,0.0076,0.0077,Asia,8655541.0,402.606,30.6,11.733,7.359,82.97,85.5,423.353500154592,2079.24373504822,863.988591692241,122.896288195364,557.693416587267,1807.09889853358,225.262628533814,278806231974.0
82,Italy,Italy,0.1312,0.1448,0.1394,0.093,0.0352,0.0344,0.0303,0.0299,Europe,60461828.0,205.859,47.9,23.021,16.24,83.51,88.7,837.041691658325,5181.3602746724,1364.44658571229,111.149988486849,836.715674677204,3627.27883877032,449.668911506283,2077209143231.0
83,Jamaica,Jamaica,0.035,0.016,0.0126,0.0199,0.0232,0.0191,0.0164,0.0205,North America,2961161.0,266.879,31.4,9.684,6.39,74.47,63.7,414.155923142884,4267.12236173492,2479.58399878035,215.67792434283,1057.85048953891,1906.85372576934,547.281873093197,19431862177.0
84,Japan,Japan,0.0217,0.0533,0.0197,0.0181,0.014,0.0171,0.0181,0.0182,Asia,126476458.0,347.778,48.2,27.049,18.493,84.63,89.0,615.95355493387,4332.20016616005,717.754684984231,529.973157604543,628.330584492999,3476.44874648454,250.50966305254,4867010472551.0
85,Jordan,Jordan,0.0174,0.0091,0.008,0.009,0.0129,0.0127,0.0119,0.0129,Asia,10203140.0,109.285,23.2,3.81,2.361,74.53,76.5,192.582639592845,2494.67861522026,777.944989950207,272.292607702381,922.643928679326,1618.2847285326,222.413445600854,104894207136.0
86,Kazakhstan,Kazakhstan,0.0121,0.0061,0.0123,0.0148,0.0138,0.0124,0.0098,0.0076,Asia,18776707.0,6.681,30.6,6.991,4.625,73.6,61.1,1034.2148431977,7732.92961427137,894.569341106131,458.54538058123,1728.75491912577,3710.83255122979,254.023209977151,463720551977.0
87,Kenya,Kenya,0.047,0.0265,0.0157,0.0187,0.0174,0.0174,0.0163,0.0194,Africa,53771300.0,87.324,20.0,2.686,1.528,66.7,48.7,343.284407570138,2211.21173477742,478.715637718578,1185.5728212718,2504.58934175455,799.91388025685,17.0359514110867,173505898106.0
88,Kosovo,Kosovo,0.0213,0.0194,0.0351,0.0393,0.0258,0.0239,0.0205,0.021,Europe,1932774.0,168.155,,,,,,,,,,,,,
89,Kuwait,Kuwait,0.002,0.0081,0.0066,0.006,0.0062,0.0056,0.0056,0.0055,Asia,4270563.0,232.128,33.7,2.345,1.114,75.49,82.0,139.73609687815,2569.38108497133,856.555810395926,186.065929156632,1246.65362522178,1534.44109002966,369.106178668552,277117153092.0
90,Kyrgyzstan,Kyrgyzstan,0.0107,0.0117,0.0357,0.0216,0.0169,0.0169,0.0169,0.0171,Asia,6524191.0,32.333,26.3,4.489,2.882,71.45,60.4,541.394383047995,5714.98072503338,387.203859965053,491.307397445814,1802.32100668012,2748.26963176038,133.371046822494,29601148154.0
91,Laos,Laos,,,,,,,,0.0015,Asia,7275556.0,29.715,24.4,4.029,2.322,67.92,44.9,,,,,,,,46666961449.0
92,Latvia,Latvia,0.0074,0.0272,0.0242,0.0131,0.0139,0.0191,0.0185,0.0181,Europe,1886202.0,31.212,43.9,19.754,14.136,75.29,77.7,425.390795326527,13367.0518808942,958.217634145797,217.096385798974,1279.72785394933,5450.37493790503,721.307719531247,46862480823.0
93,Lebanon,Lebanon,0.0317,0.0215,0.0116,0.0085,0.0082,0.0119,0.0135,0.0144,Asia,6825442.0,594.561,31.1,8.514,5.43,78.93,80.0,526.991294040276,6205.40052152017,1049.8641374119,216.199617199438,1693.90190951689,4342.19669773709,722.243040791504,96800197158.0
94,Lesotho,Lesotho,,,0.0277,0.0229,0.0195,0.0245,0.0294,0.0298,Africa,2142252.0,73.562,22.2,4.506,2.647,54.33,35.7,998.715053231507,4931.98373383271,1816.39865003265,2706.92598277616,4745.49947601856,4255.08788661167,144.969552738166,5360395694.0
95,Liberia,Liberia,0.1017,0.0639,0.0652,0.0596,0.0468,0.0428,0.0416,0.0348,Africa,5057677.0,49.127,19.2,3.057,1.756,64.1,45.4,241.982418324297,2438.57083863193,564.548991189446,1179.23495943574,3257.54453211322,600.071863539999,74.6715223494344,3936415617.0
96,Libya,Libya,0.0204,0.02,0.0187,0.0146,0.0143,0.016,0.0168,0.0167,Africa,6871287.0,3.623,29.0,4.424,2.816,72.91,69.9,416.329526662541,4750.55069120985,992.236486232998,201.885047866809,1615.99197005459,2246.40806863679,484.229096678901,100416019386.0
97,Liechtenstein,Liechtenstein,0.0127,0.0122,0.011,0.0052,0.0131,0.0209,0.0201,0.0195,Europe,38137.0,237.012,,,,82.49,,,,,,,,,
98,Lithuania,Lithuania,0.0196,0.0338,0.0266,0.0138,0.0114,0.0162,0.0161,0.0156,Europe,2722291.0,45.135,43.5,19.002,13.778,75.93,76.6,546.679241169999,11909.088479648,665.882273519279,220.492115401848,940.126197091731,4908.87752773518,716.740517770391,76617521916.0
99,Luxembourg,Luxembourg,0.02,0.0269,0.0165,0.0127,0.0098,0.0115,0.0121,0.0116,Europe,625976.0,231.447,39.7,14.312,9.842,82.25,89.3,749.595848696806,3288.19324836841,926.28781069229,125.226500358591,374.618422312876,2989.9057101632,241.785566568395,35015057362.0
100,Madagascar,Madagascar,,0.0087,0.0123,0.0142,0.0147,0.0149,0.0171,0.0212,Africa,27691019.0,43.951,19.6,2.929,1.686,67.04,43.7,447.634199311915,4089.92603155411,459.636460637259,1701.41943093184,4238.2178654973,976.626773731528,23.8760065293188,36665931909.0
101,Malawi,Malawi,0.125,0.0105,0.0317,0.031,0.0307,0.0329,0.0335,0.0336,Africa,19129955.0,197.519,18.1,2.979,1.783,64.26,47.0,270.715906592908,2332.08063362169,540.071422282269,1870.03116759566,3746.6768454493,946.825664894517,25.3173469568914,22574655861.0
102,Malaysia,Malaysia,0.0162,0.0142,0.0136,0.0094,0.0049,0.0036,0.0037,0.0061,Asia,32365998.0,96.254,29.9,6.293,3.407,76.16,66.6,539.411740616388,4665.32082281447,783.450953120881,982.610090269763,997.572782506849,2674.07940925469,275.576519225315,773658537412.0
103,Maldives,Maldives,,0.0038,0.0038,0.0031,0.0036,0.0032,0.0026,0.0028,Asia,540542.0,1454.433,30.6,4.12,2.875,78.92,75.5,520.924484097016,2510.79078296833,544.560384680093,138.160149989546,509.725494995058,1470.29286313265,128.248307882865,
104,Mali,Mali,0.076,0.0566,0.0474,0.0391,0.035,0.0415,0.0332,0.0364,Africa,20250834.0,15.196,16.4,2.519,1.486,59.31,45.6,404.842577868122,2460.85513187297,478.554038801076,3815.46023839271,7511.91957128019,785.830741465949,39.1673777807003,27521621441.0
105,Malta,Malta,0.0073,0.0136,0.0069,0.0105,0.0158,0.0148,0.0136,0.0137,Europe,441539.0,1454.037,42.4,19.426,11.324,82.53,85.1,661.160846938196,5239.45863047805,1319.67538978646,348.171978579149,758.334965734864,3463.88817254524,707.222026190476,15606395163.0
106,Mauritania,Mauritania,0.1429,0.0427,0.0234,0.0214,0.021,0.0253,0.025,0.0237,Africa,4649660.0,4.289,20.3,3.138,1.792,64.92,52.0,278.974475012664,2343.75150911502,488.779967986177,930.384105069294,2749.77632205614,755.634072622661,180.15425151391,13278340874.0
107,Mauritius,Mauritius,0.0278,0.0297,0.0289,0.024,0.0191,0.0166,0.0125,0.0106,Africa,1271767.0,622.962,37.4,10.945,5.884,74.99,65.7,636.580516613384,5760.78270598125,4728.7484944767,283.163345437442,1397.28812495744,3155.60870788946,595.135135308232,27474711833.0
108,Mexico,Mexico,0.0772,0.1194,0.1087,0.1018,0.0906,0.0878,0.092,0.0936,North America,128932753.0,66.444,29.3,6.857,4.321,75.05,62.6,498.804348592941,2744.21979396047,2242.60592796241,308.273527651567,1106.17237327764,1220.36042372353,224.918382327745,2006599788819.0
109,Moldova,Moldova,0.0251,0.034,0.0297,0.0235,0.0203,0.0214,0.0225,0.0241,Europe,4033963.0,123.655,37.6,10.864,6.955,71.9,73.1,,,,,,,,23299414542.0
110,Monaco,Monaco,0.0323,0.0404,0.0274,0.0078,0.0044,0.0118,0.013,0.013,Europe,39244.0,19347.5,,,,86.75,,986.420614227718,5906.61165794241,839.78351787944,334.814087050514,825.320468475755,6053.73141485604,540.439692493325,
111,Mongolia,Mongolia,,,,,,0.0008,0.0019,0.0047,Asia,3278292.0,1.98,28.6,4.031,2.421,69.87,58.5,270.182015601914,7805.95387282333,314.024451727802,664.375679285891,3173.52783192095,3927.09040358753,98.4523034442716,41531756485.0
112,Montenegro,Montenegro,0.0132,0.027,0.0191,0.0149,0.0143,0.013,0.0149,0.016,Europe,628062.0,46.28,39.1,14.762,9.395,76.88,80.7,294.545748507624,11268.6507511615,1432.88530372319,152.525950533892,2643.75400049547,7931.91674660927,276.849607394245,11980410039.0
113,Morocco,Morocco,0.0569,0.0237,0.0155,0.0169,0.0166,0.0177,0.0177,0.0176,Africa,36910558.0,80.08,29.6,6.769,4.209,76.68,61.3,481.077663298926,7221.17225472214,969.219114426161,312.030842714514,2297.80781257412,2232.83279388307,637.366118835918,299980109158.0
114,Mozambique,Mozambique,,0.0061,0.0067,0.0069,0.0085,0.0106,0.0115,0.0118,Africa,31255435.0,37.728,17.7,3.158,1.87,60.85,43.0,268.391548687105,2976.02731423955,627.3862565738,2023.33424432591,4612.61618967445,1096.04793960344,24.4025431223367,29449971154.0
115,Myanmar,Myanmar,0.0471,0.0229,0.016,0.0239,0.021,0.0225,0.0225,0.0222,Asia,54409794.0,81.721,29.1,5.732,3.12,67.13,48.4,1393.95890353855,6023.51451574516,1515.615146051,947.06110167454,4217.616920785,3352.13345469496,141.492852134393,317599010611.0
116,Namibia,Namibia,,,0.0084,0.0107,0.0095,0.0108,0.0129,0.0155,Africa,2540916.0,3.078,22.0,3.552,2.085,63.71,53.7,607.36666050606,3485.92238862983,999.143230139252,1436.37107246072,2303.52133096835,1493.72803188835,201.907713528217,23095485754.0
117,Nepal,Nepal,,0.0028,0.0039,0.0057,0.0069,0.0075,0.0108,0.0139,Asia,29136808.0,204.43,25.0,5.809,3.212,70.78,50.8,2220.19335346908,3631.18288532225,623.764979220157,638.714876997792,3995.83617682038,2961.64861881998,105.534861855306,81052454062.0
118,Netherlands,Netherlands,0.1132,0.1233,0.0961,0.0311,0.0159,0.0144,0.0121,0.0106,Europe,17134873.0,508.544,43.2,18.779,11.881,82.28,89.5,1302.49285533491,3743.23429402608,823.14090782908,201.023813548541,589.770080804597,4311.1590209852,148.684900397723,818056008437.0
119,New Zealand,New Zealand,0.0064,0.0146,0.0135,0.0133,0.0119,0.0111,0.01,0.0096,Oceania,4822233.0,18.206,37.9,15.322,9.72,82.29,86.2,1038.1737908235,4075.85926156059,703.762531744116,100.250098139997,158.731276675761,2721.96710472234,310.347399823931,171013579064.0
120,Nicaragua,Nicaragua,0.1111,0.0351,0.0311,0.0288,0.0275,0.0269,0.0266,0.0244,North America,6624554.0,51.667,27.3,5.445,3.519,74.48,64.3,336.801696594667,2511.31923784644,1215.13215083697,403.332591386188,1212.91269746148,884.994663802033,55.8421131986461,30136878640.0
121,Niger,Niger,0.024,0.0657,0.0591,0.0571,0.0347,0.0359,0.0371,0.0352,Africa,24206636.0,16.955,15.1,2.553,1.378,62.42,41.0,278.771905562997,2209.9760155732,339.758993234089,4959.71783452864,8133.37475658622,640.644783792733,38.9776526872185,20483442501.0
122,Nigeria,Nigeria,0.0294,0.0264,0.0199,0.0183,0.016,0.012,0.0126,0.0127,Africa,206139587.0,209.588,18.1,2.751,1.447,54.69,51.3,223.18800768283,2040.40911259433,392.204522405776,3388.40805582821,5885.56426789306,488.263098516753,53.9146659854653,1060805903026.0
123,North Macedonia,North Macedonia,0.0425,0.0468,0.0427,0.0363,0.029,0.0308,0.0301,0.0352,Europe,2083380.0,82.6,39.1,13.26,8.16,75.8,76.0,635.571518412026,11920.9001653095,1988.47842612948,139.935256423306,3487.02170553453,7309.69293366534,363.800073263079,27703577042.0
124,Norway,Norway,0.022,0.028,0.0261,0.0171,0.0095,0.0088,0.0066,0.0061,Europe,5421242.0,14.462,39.7,16.821,10.813,82.4,90.5,998.308367644009,3520.54963469879,808.905203458041,182.430715593661,177.207667985645,2501.01294516651,280.68704985969,449338995067.0
125,Oceania,Oceania,0.0091,0.0139,0.0175,0.0314,0.0304,0.0293,0.0246,0.0216,,42677809.0,,,,,,40.3,,,,,,,,
126,Oman,Oman,0.0039,0.0045,0.0069,0.0099,0.0117,0.0112,0.0103,0.0108,Asia,5106622.0,14.98,30.7,2.355,1.53,77.86,77.1,156.913466947248,2899.84133491508,723.029254385874,162.737483813203,1109.13844946178,821.02639893324,306.373998477994,172358228170.0
127,Pakistan,Pakistan,0.0192,0.0193,0.0213,0.0206,0.0202,0.022,0.0215,0.0231,Asia,220892331.0,255.573,23.5,4.495,2.78,67.27,43.1,761.195378947024,4417.85484735438,890.705940535502,1219.91866134919,5011.82657023794,2296.40657602731,178.710999817768,1212090501040.0
128,Palestine,Palestine,0.0068,0.0054,0.0067,0.0087,0.0091,0.0115,0.0106,0.0114,Asia,5101416.0,778.202,20.4,3.043,1.726,74.05,70.5,200.383402353111,3104.24704446857,940.867096861631,199.114186942966,1117.17928177134,1645.45597865302,324.963807924057,24034213506.0
129,Panama,Panama,0.0275,0.0208,0.0216,0.0206,0.0172,0.017,0.0172,0.0166,North America,4314768.0,55.133,29.7,7.918,5.03,78.51,64.4,307.002244773712,2446.68015454073,1300.03527329614,370.284310173395,573.740761617825,825.183883589427,57.1061277462166,86035741483.0
130,Papua New Guinea,Papua New Guinea,,,0.0093,0.0121,0.011,0.0105,0.0088,0.0098,Oceania,8947027.0,18.22,22.6,3.808,2.142,64.5,38.6,1319.15074963756,5214.48045175974,1961.00322801491,2769.75429073202,5714.27354929637,3406.82423234952,186.330107429291,
131,Paraguay,Paraguay,0.046,0.0099,0.0141,0.0218,0.0209,0.0203,0.0209,0.028,South America,7132530.0,17.144,26.5,6.378,3.833,74.25,60.4,297.388338585142,3071.66132322142,1169.74630197991,337.950226445818,912.807105115669,1820.59271622333,131.454469726272,66292864959.0
132,Peru,Peru,0.1067,0.128,0.1256,0.0985,0.0924,0.092,0.0926,0.0943,South America,32971846.0,25.129,29.1,7.151,4.455,76.74,69.6,182.088038186237,1755.39418953938,612.461024269705,644.2012666996,932.85002483049,449.639950741599,84.0572209924863,386316117150.0
133,Philippines,Philippines,0.064,0.0407,0.0165,0.0186,0.0195,0.0209,0.0172,0.0174,Asia,109581085.0,351.873,25.2,4.803,2.661,71.23,52.0,606.916627318574,4886.20136831437,941.152382777716,1076.67904410715,2234.8033316022,3120.25833240965,53.5838703817662,912443450836.0
134,Poland,Poland,0.0397,0.0419,0.0331,0.0218,0.0206,0.0257,0.023,0.026,Europe,37846605.0,124.027,41.8,16.763,10.202,78.73,79.6,683.329113087786,7519.89905441793,1276.975163012,263.055057524247,1801.01405459797,5667.90424387554,372.077132334382,1053479356813.0
135,Portugal,Portugal,0.0334,0.0404,0.0329,0.0224,0.0162,0.0197,0.0204,0.0198,Europe,10196707.0,112.371,46.2,21.502,14.924,82.05,84.5,1030.90300038737,4991.18173218313,1509.37423961042,431.357920563804,424.925672360138,3303.73393410694,525.900906786097,276343587731.0
136,Qatar,Qatar,0.0017,0.001,0.0017,0.0017,0.0017,0.0016,0.0019,0.0026,Asia,2881060.0,227.322,31.9,1.307,0.617,80.23,85.2,130.22207639344,1339.94839986901,1045.56423460252,58.6688262745691,874.11008685016,893.178239221957,275.477841824206,400649396629.0
137,Romania,Romania,0.0509,0.0638,0.0425,0.0333,0.0242,0.0255,0.0253,0.0297,Europe,19237682.0,85.129,43.0,17.85,11.69,76.05,74.4,884.708258055965,12763.0831371604,910.477974472035,460.696245494984,1891.84956521909,6118.92537385657,475.617648942713,386236496172.0
138,Russia,Russian Federation,0.0083,0.0135,0.017,0.0173,0.0177,0.0197,0.0223,0.0242,Europe,145934460.0,8.823,39.6,14.178,9.393,72.58,71.7,600.094929570762,13038.0721230555,668.933467682181,365.637965272587,1204.17550639337,6101.70912998675,379.014641857258,3613410539250.0
139,Rwanda,Rwanda,,0.0031,0.0033,0.0069,0.0082,0.0136,0.0135,0.0129,Africa,12952209.0,494.869,20.3,2.974,1.642,69.02,47.8,414.901295830211,2446.80302773614,553.499231002622,1482.83498995148,3251.06326467467,1241.03027708007,21.4031214053137,22988917805.0
141,Saint Lucia,Saint Lucia,,,,,0.0144,0.009,0.0148,0.0154,North America,183629.0,293.187,34.9,9.721,6.405,76.2,62.5,561.650873929043,5079.22354893571,2911.80485132332,397.200386794756,1348.56657214838,1934.08208690149,524.593210810569,1733778307.0
142,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,,,,,,0.0041,0.0055,0.0055,North America,110947.0,281.787,31.8,7.724,4.832,72.53,57.5,279.041069473809,6247.76467561275,3260.63801727564,488.119415340583,1563.27327757707,1862.24481044413,645.679518719652,
143,San Marino,San Marino,0.0892,0.0603,0.0601,0.0553,0.0267,0.0215,0.0173,0.0177,Europe,33938.0,556.667,,,,84.97,,692.892619928875,4174.78959397472,807.234384579782,154.533607534652,397.507045981519,3151.41324748429,333.182690752302,
144,Sao Tome and Principe,Sao Tome and Principe,,0.0176,0.017,0.0161,0.0168,0.0125,0.0154,0.0157,Africa,219161.0,212.841,18.7,2.886,2.162,70.39,49.6,711.581677445396,3402.74434729936,418.066902955431,1034.07502196756,2308.23752246263,723.164773851788,76.4950372905564,762655231.0
