,country,official name,2020/4/16 CFR,2020/6/16 CFR,2020/8/16 CFR,2020/10/16 CFR,2020/12/16 CFR,2021/2/16 CFR,2021/4/16 CFR,2021/6/16 CFR,continent,population,population density,median age,aged 65 older,aged 70 older,life expectancy,HAQ,DALYs rate from COPD,DALYs rate from CVD,DALYs rate from DM,DALYs rate from PNEU,DALYs rate from air pollution,DALYs rate from tobacco use,DALYs rate from low physical activity,2018 GDP
166,Tanzania,Tanzania,0.0425,0.0413,0.0413,0.0413,0.0413,0.0413,0.0413,0.0413,Africa,59734213.0,64.699,17.7,3.108,1.874,65.46,49.9,,,,,,,,162052511806.0
167,Thailand,Thailand,0.0172,0.0185,0.0172,0.016,0.014,0.0033,0.0025,0.0074,Asia,69799978.0,135.132,40.1,11.373,6.89,77.15,70.8,727.003431543212,3808.83840640713,1248.90443543271,574.726751231311,1619.83638078084,2744.61938328589,159.299793070683,1124031904191.0
168,Timor,Timor,,,,,,,0.0017,0.0022,Asia,1318442.0,87.176,18.0,3.556,1.897,69.5,51.6,,,,,,,,
169,Togo,Togo,0.0617,0.0239,0.0235,0.0252,0.0199,0.0136,0.0096,0.0093,Africa,8278737.0,143.366,19.4,2.839,1.525,61.04,44.3,354.70352237244,3003.39022340098,487.764406230062,1483.30347248313,3927.04444394941,1158.49585669673,66.1565471804052,11866978379.0
170,Trinidad and Tobago,Trinidad and Tobago,0.0702,0.065,0.0199,0.0181,0.0178,0.018,0.0173,0.0235,North America,1399491.0,266.886,36.2,10.014,5.819,73.51,62.1,307.603312232573,6038.88284893578,4307.67753464626,253.906154645338,1755.52730829206,2665.02201929559,976.083007131241,34697351282.0
171,Tunisia,Tunisia,0.045,0.0443,0.0256,0.0147,0.0349,0.034,0.0342,0.0367,Africa,11818618.0,74.228,32.7,8.001,5.075,76.7,70.1,472.111366992818,5963.11338273322,1099.74804286358,242.114938901313,1705.02853611877,3000.89899813985,262.422913766682,130322095892.0
172,Turkey,Turkey,0.0221,0.0266,0.024,0.0266,0.0089,0.0106,0.0085,0.0092,Asia,84339067.0,104.914,31.6,8.153,5.061,77.69,76.2,901.732279872302,4202.54596595964,1006.02569008354,219.27187393969,1378.79550549462,3406.73269449421,390.0315290735,1655984280526.0
173,Uganda,Uganda,,,0.0087,0.0093,0.0078,0.0083,0.0082,0.0077,Africa,45741000.0,213.759,16.4,2.168,1.308,63.37,42.9,270.55433542369,1915.26175262112,493.50345558698,1506.04761030046,3591.8075162853,604.453764382379,18.1276675355634,86584070536.0
174,Ukraine,Ukraine,0.0279,0.028,0.0225,0.0188,0.0173,0.0196,0.0207,0.0236,Europe,43733759.0,77.39,41.4,16.462,11.133,72.06,72.7,651.595502069227,18857.409040678,633.48717334376,450.104711378703,2322.65561112241,7830.92262708298,399.108320621429,431319895538.0
175,United Arab Emirates,United Arab Emirates,0.006,0.0068,0.0057,0.004,0.0033,0.0029,0.0031,0.0029,Asia,9890400.0,112.442,34.0,1.144,0.526,77.97,72.2,640.14724758089,3605.5527274262,1031.66197346097,121.407487837912,1593.32569435591,2228.65193578813,551.364150383803,734906189316.0
176,United Kingdom,United Kingdom,0.1424,0.1439,0.1294,0.0629,0.0342,0.0291,0.029,0.0278,Europe,67886004.0,272.898,40.8,18.517,12.527,81.32,84.6,1325.54405640151,4347.58469890963,999.261905938008,342.904014295675,475.370305922022,4232.60607412113,376.812992233051,2540210102649.0
177,United States,United States of America,0.0541,0.0558,0.0315,0.0272,0.0183,0.0176,0.0179,0.0179,North America,331002647.0,35.608,38.3,15.413,9.732,78.86,81.3,1531.05589353329,5264.66366001812,1360.20119669531,174.997801669899,433.400488652551,4441.69782926883,221.460345470139,18140645383319.0
178,Uruguay,Uruguay,0.0179,0.0283,0.0264,0.0208,0.0094,0.011,0.0112,0.0148,South America,3473727.0,19.751,35.6,14.655,10.361,77.91,72.0,1059.36241594338,4778.1180852145,864.360918967006,359.564357373326,507.134416598392,3927.12055171342,212.470898932593,68560712984.0
179,Uzbekistan,Uzbekistan,0.003,0.0033,0.0066,0.0083,0.0081,0.0078,0.0074,0.0068,Asia,33469199.0,76.134,28.2,4.469,2.873,71.72,62.3,229.59572878939,8052.84925137287,1080.48063870065,1196.50242436364,2907.92064915363,2708.44121132065,175.080509125204,336874766859.0
180,Vanuatu,Vanuatu,,,,,,,,0.25,Oceania,307150.0,22.662,23.1,4.394,2.62,70.47,43.1,1029.64365148535,8713.95127618324,1744.61265584402,1207.88719015493,4862.48316464881,3283.97469155341,197.033665154058,
181,Venezuela,Venezuela,0.0441,0.0083,0.0083,0.0084,0.0089,0.0096,0.0103,0.0113,South America,28435943.0,36.253,29.0,6.614,3.915,72.06,64.7,469.872997592998,4548.29481612921,1579.13599630741,358.512606617149,1268.23608330828,1958.09958777712,83.5973474719842,309413012163.0
182,Vietnam,Viet Nam,,,0.0249,0.0311,0.0249,0.0151,0.0126,0.0052,Asia,97338583.0,308.127,32.6,7.15,4.718,75.4,66.3,735.50697357624,5503.48574356914,1062.25385572553,399.281607670999,2019.58248419744,3320.99490116367,102.410026750832,661488430245.0
183,Yemen,Yemen,,0.2705,0.2836,0.29,0.2907,0.2877,0.1939,0.1967,Asia,29825968.0,53.508,20.3,2.922,1.583,66.12,49.6,356.758058571718,4663.65998119912,351.677175087735,705.040673093004,2720.21878053,2125.17502905563,263.453917426047,69042726810.0
184,Zambia,Zambia,0.0417,0.0078,0.0278,0.0221,0.02,0.0138,0.0136,0.0125,Africa,18383956.0,22.995,17.7,2.48,1.542,63.89,41.6,285.098663317628,2740.14883464927,556.1872362462,1742.2760502612,3196.16874224056,983.750789779544,43.5810921401339,60978621663.0
185,Zimbabwe,Zimbabwe,0.1304,0.01,0.0251,0.0285,0.0266,0.04,0.0413,0.0404,Africa,14862927.0,42.729,19.6,2.822,1.882,61.49,48.7,317.634480544798,3257.60605617714,884.198960138461,2665.74806885624,3999.30644056611,2251.6227270949,54.136874422271,22715353541.0
